organization_number,issuer_name,has_candidates,best_symbol,best_exchange,best_shortname,best_score,alternatives
923609016,Equinor ASA,1,EQNR,NYQ,Equinor ASA,182,DNQ.F [FRA] || EQNR.OL [OSL]
136282765,Golar LNG Limited,1,GLNG,NMS,Golar LNG Limited,182,0HDY.L [LSE] || G2O.F [FRA]
260005070,Keysight Technologies Inc,1,KEYS,NYQ,Keysight Technologies Inc.,182,1KT.F [FRA] || 1KT.DU [DUS]
260005071,Microsoft Corporation,1,MSFT,NMS,Microsoft Corporation,182,MSF0.F [FRA] || MSFT.BA [BUE]
101187763,Millicom International Cellular S.A.,1,TIGO,NMS,Millicom International Cellular,182,M4M1.F [FRA] || M4M1.HM [HAM]
260005970,Oracle Corporation,1,ORCL,NYQ,Oracle Corporation,182,ORCL-PD [NYQ] || ORCLD.BA [BUE]
260005042,SAP SE,1,SAP,NYQ,SAP  SE,182,SAPA.MU [MUN] || 0NW4.IL [IOB]
260005881,The Walt Disney Company,1,DIS,NYQ,Walt Disney Company (The),182,DISN.BA [BUE] || 1DIS.MI [MIL]
260005897,Thermo Fisher Scientific Inc,1,TMO,NYQ,Thermo Fisher Scientific Inc,182,TN80.F [FRA] || TN8.DU [DUS]
260005893,UnitedHealth Group Incorporated,1,UNH,NYQ,UnitedHealth Group Incorporated,182,UNH.F [FRA] || UNH.SN [SGO]
260005036,VISA Inc.,1,V,NYQ,Visa Inc.,182,3V6.F [FRA] || V.BA [BUE]
199939274,ALM Brand A/S,1,1AM.F,FRA,Alm. Brand A/S                N,180,0DJI.IL [IOB] || ALMBC.XD [DXE]
886581432,Aker ASA,1,FKM.F,FRA,Aker ASA                      N,180,0MJX.IL [IOB] || AKER.OL [OSL]
199937403,Alimentation Couche-Tard Inc.,1,CJA1.F,FRA,Alimentation Couche-Tard Inc. R,180,CJA1.MU [MUN] || CJA1.DU [DUS]
920237126,Atea ASA,1,MKL.F,FRA,Atea ASA                      N,180,MKL.MU [MUN] || ATEA.OL [OSL]
929975200,Austevoll Seafood ASA,1,Z85.F,FRA,Austevoll Seafood ASA         N,180,Z85.MU [MUN] || Z85.DU [DUS]
252536604,Commerzbank AG,1,ZZMS.F,FRA,Commerzbank AG                N,180,CBK.DE [GER] || CBK.VI [VIE]
999296432,Entra ASA,1,2EN.F,FRA,Entra ASA                     N,180,ENTRAO.XD [DXE] || ENTRA.OL [OSL]
199934805,Fortum Oyj,1,FOT.F,FRA,FORTUM OYJ                    R,180,FOT.DU [DUS] || FORTMH.XC [CXE]
995568217,Gjensidige Forsikring ASA,1,XGJ.F,FRA,Gjensidige Forsikring ASA     N,180,GJF.OL [OSL] || 0OJC.IL [IOB]
199938867,H & M Hennes & Mauritz AB,1,HMSB.F,FRA,H & M HENNES & MAURITZ AB     N,180,HMSA.MU [MUN] || HMSB.SG [STU]
260003730,KRUK S.A.,1,83I.F,FRA,Kruk S.A.                     I,180,83I.MU [MUN] || 83I.DU [DUS]
964118191,Mowi ASA,1,PND.F,FRA,Mowi ASA                      N,180,PNDA.MU [MUN] || MOWI.OL [OSL]
914778271,Norsk Hydro ASA,1,NOHA.F,FRA,NORSK HYDRO ASA               N,180,NOH1.HM [HAM] || NHY.OL [OSL]
260005685,Novonesis A/S,1,NZM2.F,FRA,Novonesis A/S                 N,180,NZM.F [FRA] || NZM2.DU [DUS]
910747711,Orkla ASA,1,OKL.F,FRA,Orkla ASA                     N,180,OKL.DU [DUS] || 0FIN.IL [IOB]
985279721,Protector Forsikring ASA,1,PR40.F,FRA,Protector Forsikring ASA      N,180,PROT.OL [OSL] || PROTO.XC [CXE]
260003987,RWE AG,1,RWE.F,FRA,RWE AG                        I,180,RWE.DE [GER] || RWEA.SG [STU]
952706365,SpareBank 1 Nord-Norge,1,93S.F,FRA,SpareBank 1 Nord-Norge        N,180,93S.MU [MUN] || NONGO.XC [CXE]
982463718,Telenor ASA,1,TEQ.F,FRA,Telenor ASA                   N,180,TEQ.DU [DUS] || TEL.OL [OSL]
260003089,Vonovia SE,1,VNAA.F,FRA,Vonovia SE                    N,180,VNA.F [FRA] || VNAD.XC [CXE]
989795848,Aker BP ASA,1,ARC.MU,MUN,Aker BP ASA                   N,178,AKRBP.OL [OSL] || 0M5J.IL [IOB]
199938502,Bayer AG,1,BAYN.MU,MUN,Bayer AG                      N,178,BAYND.XD [DXE] || BAYN.DE [GER]
942593821,Kongsberg Automotive ASA,1,K3A.MU,MUN,Kongsberg Automotive ASA      N,178,KOA.OL [OSL] || KOAO.XD [DXE]
199936672,Mercedes-Benz Group AG,1,MBG.MU,MUN,Mercedes-Benz Group AG        N,178,MBG.DE [GER] || MBGYY [PNK]
199934503,Neste Oyj,1,NEF.MU,MUN,Neste Oyj                     R,178,0O46.IL [IOB] || NESTE.HE [HEL]
199934554,Sampo Oyj,1,SMP0.MU,MUN,Sampo OYJ                     R,178,SMP0.DU [DUS] || SAMPOH.XD [DXE]
916300484,Storebrand ASA,1,SKT.DU,DUS,STOREBRAND ASA                N,178,STBO.XC [CXE] || STB.OL [OSL]
927124238,Tomra Systems ASA,1,TMRA.MU,MUN,Tomra Systems ASA             N,178,TMRA.HM [HAM] || TOM.OL [OSL]
199938860,Volkswagen AG,1,VOWA.MU,MUN,Volkswagen AG                 N,178,VOW.DE [GER] || VOW3.DE [GER]
986228608,Yara International ASA,1,IU20.MU,MUN,Yara International ASA        N,178,YAR.OL [OSL] || YARO.XC [CXE]
260004949,Aktieselskabet Schouw & Co.,1,SCHO.CO,CPH,Schouw & Co. A/S,166,5RF.F [FRA] || 5RF.MU [MUN]
943753709,Kongsberg Gruppen ASA,1,KOG.OL,OSL,KONGSBERG GRUPPEN,164,KOGO.XD [DXE] || KOZ1.F [FRA]
199936679,UPM-Kymmene Oyj,1,UPM.HE,HEL,UPM-Kymmene Corporation,162,UPMH.XD [DXE] || UPMH.XC [CXE]
199937853,BNP Paribas SA,1,0HB5.IL,IOB,BNP PARIBAS SA BNP PARIBAS ORD,160,BNP.PA [PAR] || BNPH.F [FRA]
108520479,Corem Property Group AB (publ),1,BJV0.F,FRA,Corem Property Group AB       R,160,BJV1.F [FRA] || BJV.F [FRA]
199934619,Elisa Oyj,1,ELISAH.XC,CXE,Elisa Oyj,158,ELISA.HE [HEL] || EIA.SG [STU]
260005043,Kering SA,1,KERP.XD,DXE,Kering SA,158,KER.PA [PAR] || PPX.F [FRA]
199935978,Kojamo Oyj,1,KOJAMH.XD,DXE,Kojamo Oyj,158,KOJAF [PNK] || V4OC.MU [MUN]
260005954,McCormick & Company Inc,1,MKC,NYQ,"McCormick & Company, Incorporat",148,MKC-V [NYQ] || MCX.F [FRA]
199938755,Allianz SE,1,ALV.DE,GER,Allianz SE                    v,140,US0188201000.SG [STU] || ALV.HA [HAN]
199938697,Epiroc Aktiebolag,1,EPOAY,PNK,Epiroc Aktiebolag,135,EPIAF [PNK]
199938797,Telefonaktiebolaget L M Ericsson,1,ERCG.MU,MUN,Telefonaktiebolaget L.M.Erics.N,128,ERCA.MU [MUN] || ERCB.MU [MUN]
100000337,A.P. Møller - Mærsk A/S,0,,,,0,
183562096,Akelius Residential Property AB (publ),0,,,,0,
199936642,Alfa Laval Treasury International AB (publ),0,,,,0,
199936574,Carlsberg Breweries A/S,0,,,,0,
100000445,Electrolux AB (publ),0,,,,0,
260004735,Euroclear: TRATON FINANCE LUXEMBOURG S.A.,0,,,,0,
199936132,Finnair Plc.,0,,,,0,
199937619,Føroya Banki P/F,0,,,,0,
199938639,Heba Fastighets Aktiebolag,0,,,,0,
199934473,Huhtamäki Oyj,0,,,,0,
200319745,Industrivärden AB (publ),0,,,,0,
252230673,Islandsbanki hf (Íslandsbanki),0,,,,0,
199936429,Jyske Realkredit A/S,0,,,,0,
937895976,Jæren Sparebank,0,,,,0,
111902467,L E Lundbergföretagen AB,0,,,,0,
975350940,Lerøy Seafood Group ASA,0,,,,0,
199939029,Mandatum Life Insurance Company Limited,0,,,,0,
914594685,Olav Thon Eiendomsselskap ASA,0,,,,0,
199936581,Oma Säästöpankki Oy,0,,,,0,
199936202,Ringkjøbing Landbobank A/S,0,,,,0,
993153036,Rogaland Sparebank Boligkreditt AS,0,,,,0,
915174388,SR-Boligkreditt AS,0,,,,0,
199938071,Samhällsbyggnadsbolaget i Norden AB (publ),0,,,,0,
199938568,Sandvik Treasury Aktiebolag (publ),0,,,,0,
199938861,Sappi Papier Holding,0,,,,0,
260004245,Securitas Treasury Ireland Designated Activity Company,0,,,,0,
199936446,Spar Nord Bank A/S,0,,,,0,
937899408,SpareBank 1 Nordmøre,0,,,,0,
937895321,SpareBank 1 Sør-Norge ASA,0,,,,0,
837884942,SpareBank 1 Østfold Akershus,0,,,,0,
920426530,SpareBank 1 Østlandet,0,,,,0,
937899319,Sparebanken Møre,0,,,,0,
992710691,Sparebanken Norge Boligkreditt AS,0,,,,0,
937888937,Sparebanken Øst,0,,,,0,
199936735,Stendörren Fastigheter AB,0,,,,0,
260005605,Swisscom Finance B.V.,0,,,,0,
130985892,Volvo Treasury AB,0,,,,0,
260002891,Vår Energi ASA,0,,,,0,
199935267,Ålandsbanken Abp,0,,,,0,
199936712,Ørsted A/S,0,,,,0,
